PROVINCE,Case_Lag1,Case_Lag2,Case_Lag3,Case_ratio
Tak,-0.508758491,-0.525151882,-0.329613214,0.432897989
Tak,-0.522815314,-0.497835809,-0.514622154,0.244434876
Tak,-0.658823966,-0.512133115,-0.486634824,0.131491698
Tak,-0.740331955,-0.650468602,-0.501283468,0.506514337
Tak,-0.469688417,-0.733371029,-0.643018366,0.43115326
Tak,-0.524074436,-0.458097323,-0.72795801,0.393254745
Tak,-0.551424754,-0.513413778,-0.445919819,0.523714934
Tak,-0.457275218,-0.541232005,-0.502595602,0.354956406
Tak,-0.579063613,-0.44547176,-0.531097425,0.298616101
Tak,-0.619722864,-0.56934371,-0.432983999,0.782940838
Tak,-0.270199003,-0.610698558,-0.559899937,0.931327626
Tak,-0.163112333,-0.255195047,-0.602271026,0.91151259
Tak,-0.177412301,-0.146276339,-0.238031488,0.724388681
Tak,-0.312454486,-0.16082095,-0.126436248,0.222658881
Tak,-0.674539103,-0.298173437,-0.141338274,0.240940186
Tak,-0.661345988,-0.666452593,-0.282066015,0.351760655
Tak,-0.581369899,-0.65303377,-0.659395143,0.48107524
Tak,-0.488047114,-0.571689451,-0.64564657,0.572998111
Tak,-0.421708903,-0.476770101,-0.562303322,0.129267919
Tak,-0.741936796,-0.409296977,-0.465051455,0.276718561
Tak,-0.635525717,-0.735003325,-0.395920268,0.423924062
Tak,-0.52929155,-0.626771767,-0.729630418,0.405180416
Tak,-0.542818325,-0.518720146,-0.618739213,0.497074624
Tak,-0.476500798,-0.532478337,-0.508032367,0.220690873
Tak,-0.675959361,-0.465026251,-0.522128647,0.275559345
Tak,-0.636362291,-0.667897149,-0.453019016,0.178149769
Tak,-0.706660107,-0.627622653,-0.660875196,0.177883574
Tak,-0.706852213,-0.699123123,-0.619611008,0.226140921
Tak,-0.67202621,-0.699318516,-0.692868507,0.306544071
Tak,-0.614001466,-0.66389671,-0.693068701,0.450990972
Tak,-0.509758104,-0.604879279,-0.656776452,0.289521261
Tak,-0.62628636,-0.498852523,-0.596308746,0.176662272
Tak,-0.707733593,-0.617374343,-0.487676523,0.978194285
Tak,-0.129289952,-0.700214974,-0.60911086,0.960833235
Tak,-0.141818946,-0.111875325,-0.693987189,1.022847864
Tak,-0.097064691,-0.124618665,-0.091189875,2.854964608
Tak,1.225123645,-0.079098754,-0.104246365,1.384777003
Tak,0.164129628,1.265709567,-0.057607864,0.793450542
Tak,-0.262614438,0.186564075,1.320247335,0.42723885
Tak,-0.526899358,-0.247480725,0.214583277,0.426419028
Tak,-0.527491002,-0.516287029,-0.230127598,0.362451877
Tak,-0.573654338,-0.516888794,-0.505539459,0.440461415
Tak,-0.517356997,-0.563841892,-0.506156012,0.21990139
Tak,-0.676529109,-0.506581417,-0.55426292,0.407868729
Tak,-0.540878243,-0.668476644,-0.495595344,0.861669194
Tak,-0.21338291,-0.530505064,-0.661468932,3.73906051
Tak,1.863151376,-0.197406945,-0.520106884,2.701542065
Tak,1.114402809,1.91465267,-0.178823321,3.103696206
Tak,1.404626408,1.15309452,1.985137353,2.818967759
Tak,1.199145708,1.448283261,1.204864923,3.280401235
Tak,1.532149574,1.239287199,1.507307535,0.589817576
Tak,-0.409570757,1.577988093,1.293175673,0.527093375
Tak,-0.45483709,-0.396951172,1.640199691,1.068457132
Tak,-0.064149735,-0.442991921,-0.383271082,1.020884829
Tak,-0.09848136,-0.045620689,-0.430443221,0.324384442
Tak,-0.60112656,-0.08053966,-0.02330712,0.185211481
Tak,-0.701563864,-0.591784109,-0.059084177,1.09417115
Tak,-0.045592634,-0.693939693,-0.58289178,2.770948757
Tak,1.164491713,-0.026746115,-0.687557702,5.871286642
Tak,3.401920415,1.204040344,-0.003968727,3.437090503
Tak,1.645227915,3.479746955,1.257062673,2.14450272
Tak,0.712402813,1.693000977,3.58869175,2.048738573
Tak,0.643292458,0.744217112,1.758038864,1.39000055
Tak,0.167899319,0.673924418,0.785939896,1.373173679
Tak,0.155755828,0.190398257,0.713919852,2.210436615
Tak,0.759985494,0.178047016,0.218511679,3.182783123
Tak,1.461701264,0.792613836,0.205856922,1.277595687
Tak,0.086779816,1.506334553,0.835525906,1.078304662
Tak,-0.057043043,0.107890962,1.566785361,3.562819327
Tak,1.735962955,-0.038392417,0.133976877,3.074048219
Tak,1.38323027,1.785288311,-0.015901222,6.881042652
Tak,4.130633595,1.426521078,1.852594036,8.524235987
Tak,5.316481095,4.220926953,1.485010576,4.337316737
Tak,2.294896464,5.427061921,4.348085262,3.89563899
Tak,1.976149765,2.353784049,5.583859394,1.472311529
Uthai Thani,-0.48452762,-0.578901782,-0.411012164,0.122001806
Uthai Thani,-0.693871965,-0.474195666,-0.568676628,0.213546799
Uthai Thani,-0.615331833,-0.683604065,-0.463553413,0.274570221
Uthai Thani,-0.562977384,-0.605039901,-0.673795996,0.640753771
Uthai Thani,-0.248813786,-0.552669433,-0.59491887,2.013600959
Uthai Thani,0.929007045,-0.23840971,-0.542339782,7.290786459
Uthai Thani,5.456516778,0.939771501,-0.226828197,3.323809146
Uthai Thani,2.053087356,5.468666528,0.956046332,1.036904657
Uthai Thani,0.091059996,2.06419575,5.502982337,0.396391012
Uthai Thani,-0.458462427,0.101568064,2.084949756,0.396494984
Uthai Thani,-0.458373225,-0.448122497,0.114503888,0.48813973
Uthai Thani,-0.379747511,-0.448033268,-0.437376381,0.304990561
Uthai Thani,-0.536878551,-0.369383497,-0.437286796,0.365887124
Uthai Thani,-0.48463294,-0.526562615,-0.358323721,0.488821269
Uthai Thani,-0.379162791,-0.474301018,-0.516128967,0.611017252
Uthai Thani,-0.274325941,-0.368798599,-0.463659184,1.129950404
Uthai Thani,0.170887686,-0.263929672,-0.357736493,4.824029775
Uthai Thani,3.340186985,0.181420179,-0.252449818,3.052791931
Uthai Thani,1.820570784,3.351689196,0.194674096,2.013238569
Uthai Thani,0.928696135,1.831608035,3.377571967,0.82341173
Uthai Thani,-0.092104174,0.939460497,1.851435521,0.945023991
Uthai Thani,0.012231877,-0.08165215,0.955734088,0.335281011
Uthai Thani,-0.510891155,0.022715825,-0.069446188,1.371533069
Uthai Thani,0.378151172,-0.500567267,0.035337539,1.432193267
Uthai Thani,0.430193996,0.388747082,-0.490030066,0.761454561
Uthai Thani,-0.145259722,0.44080583,0.402826892,0.33502368
Uthai Thani,-0.51111193,-0.134823962,0.455093017,0.51790741
Uthai Thani,-0.35420862,-0.50078811,-0.122829812,2.101115418
Uthai Thani,1.00408922,-0.343836792,-0.490251788,2.678761682
Uthai Thani,1.499675187,1.014876649,-0.332675251,2.525290941
Uthai Thani,1.368006464,1.510614252,1.031450663,1.033887173
Uthai Thani,0.088471175,1.378905243,1.52916305,0.304061347
Uthai Thani,-0.53767576,0.09897845,1.396929375,0.516795866
Uthai Thani,-0.355162259,-0.527360068,0.111903959,0.729651834
Uthai Thani,-0.172544561,-0.344790723,-0.516929597,0.820940676
Uthai Thani,-0.094224191,-0.162117149,-0.333632982,0.912067566
Uthai Thani,-0.016042766,-0.083772815,-0.150231722,0.36472723
Uthai Thani,-0.485628059,-0.005567469,-0.071575301,0.243189183
Uthai Thani,-0.589900439,-0.475296442,0.006941578,0.608052438
Uthai Thani,-0.276869574,-0.579600726,-0.464658574,0.729574202
Uthai Thani,-0.172611164,-0.266474083,-0.569378357,1.51969679
Uthai Thani,0.505266789,-0.162183773,-0.255004365,0.820062993
Uthai Thani,-0.094977191,0.515901593,-0.150298611,0.880442043
Uthai Thani,-0.043175575,-0.084526045,0.530487926,0.63734863
Uthai Thani,-0.251735193,-0.03270858,-0.072331532,0.273111284
Uthai Thani,-0.564229065,-0.241332011,-0.02030765,0.515786088
Uthai Thani,-0.356028588,-0.553921498,-0.229762139,0.910332271
Uthai Thani,-0.017531545,-0.345657317,-0.543596834,0.819348769
Uthai Thani,-0.095589952,-0.007056704,-0.334503027,0.303430279
Uthai Thani,-0.538217179,-0.085138994,0.005446411,0.394232081
Uthai Thani,-0.46031466,-0.527901653,-0.072946922,0.454825241
Uthai Thani,-0.408329351,-0.449975298,-0.517473339,0.333485928
Uthai Thani,-0.512431229,-0.397974083,-0.439236562,0.636670396
Uthai Thani,-0.252317077,-0.502107812,-0.387028198,0.576017656
Uthai Thani,-0.304353502,-0.241914074,-0.491576748,0.363681548
Uthai Thani,-0.486525192,-0.29396642,-0.23034652,0.181767507
Uthai Thani,-0.642596565,-0.476193849,-0.282606219,0.302866021
Uthai Thani,-0.538701279,-0.632312976,-0.465559555,0.060556881
Uthai Thani,-0.746588038,-0.528385901,-0.622300588,0.151415584
Uthai Thani,-0.668636701,-0.736336267,-0.517959515,0.242306026
Uthai Thani,-0.590658134,-0.65836108,-0.726738258,0.211983744
Uthai Thani,-0.616672841,-0.580358654,-0.648452454,0.121107162
Uthai Thani,-0.694639516,-0.606381319,-0.570139303,0.24222239
